"T_Spring","EW","MVA"
14.4,0.710595238095238,0.0549083366153919
14.4,0.788690476190476,0.0555266945088578
13.6,0.945357142857143,0.0534699050821053
13.75,0.934047619047619,0.0560754501651494
15.25,0.872738095238095,0.0523847140676533
13.4,0.932023809523809,0.0504020229468571
15.7,1.00940476190476,0.0517984953805055
13.8,0.969047619047619,0.0472388940278205
15.95,0.848095238095238,0.0493438498225052
13.5,0.938452380952381,0.046423020751258
13.55,0.959166666666667,0.0457359130853294
12.35,0.974880952380952,0.0448208834955233
14.3,1.02488095238095,0.0501073969867874
13.65,1.01821428571429,0.0473224877014164
13.65,0.988214285714286,0.0462584243318043
15.3,1.11607142857143,0.0477294689132236
14.1,1.06511904761905,0.0436540694044444
13.4,0.868214285714286,0.0469443120114815
12.35,0.952619047619048,0.0419645192516291
13.3,0.907857142857143,0.0464581502292075
13.2,1.02535714285714,0.046093607847427
12.65,1.08035714285714,0.0411447327912997
14.1,0.992857142857143,0.0448941646112727
13.4,1.01666666666667,0.0427271950749731
10.75,1.0252380952381,0.0398180380988321
12.65,0.885714285714286,0.0455699864519444
12.75,1.09845238095238,0.0448466468454545
12.85,1.07440476190476,0.0517336424981372
12.2,1.16964285714286,0.0421090715115217
13.9,1.15678571428571,0.047726285523806
12.25,0.906190476190476,0.0405028099779904
11,1.0172619047619,0.0418153453133765
13.6,0.883928571428571,0.0485050064996504
11.65,1.015,0.0441725995208287
12.4,0.93047619047619,0.0386927518375309
10.05,1.03583333333333,0.0406762549061648
12.15,0.940952380952381,0.0395808508516484
10.4,1.01821428571429,0.0424633004825189
11.4,0.96297619047619,0.0405920100082617
12.45,1.01869047619048,0.0412683590436495
12.8,0.875238095238095,0.0454340484448217
11.75,0.883095238095238,0.0412000375999257
11.8,0.958452380952381,0.0410523578642696
12.05,1.05892857142857,0.0432926875527132
13.5,0.945833333333333,0.0443386546932524
10.55,1.0425,0.0381194586135354
13.2,0.99,0.0422743078544216
13.65,1.04845238095238,0.0440490411035753
12.3,1.05095238095238,0.0440736696227896
13.4,1.05047619047619,0.0450004736970167
10.95,1.12869047619048,0.0394066718669973
13.15,1.07190476190476,0.0433289322748726
12.55,0.962738095238095,0.044391204237351
11.55,1.04047619047619,0.0443643044666902
13.2,1.08559523809524,0.0489603544723624
12.2,1.11166666666667,0.05055505175107
