"T_Summer","LW","TRW","C","O"
22.4,0.609908608070687,0.841234008615896,1.96160874118886,0.339147817694033
20.2,0.697166100887789,0.848572564935318,1.38042983943861,-2.12315362095793
21.9333333333333,0.952036891490004,1.07660265534604,1.06104312510631,-0.493410793411113
22.4333333333333,1.0861190171637,1.14165987763712,1.43090995432012,1.76173508464514
21.3,1.12216116428613,1.10118587430137,1.05946792530549,0.759349831918585
21.1666666666667,0.939997082019034,1.00185793343059,1.01064756651701,-0.382517713442166
21,1.54362730170328,1.37818203163699,1.34630693891848,1.14511579878744
20.8,1.25602521777558,1.24236272459088,1.39867470446619,0.568850484569461
21.1,1.17798774716782,1.10635819675421,1.35538536850757,0.588006990102518
20.6,0.807182069598365,0.883894327472385,1.54329993118018,0.115222041381827
19.6666666666667,0.973445737765678,0.997772929294617,1.68407474500382,-0.870864022119387
20.1333333333333,0.905557887387185,0.994893814034784,1.08328391808775,-0.0460883211740611
23.4333333333333,0.62192299263424,0.808832178070629,0.853886490771953,-0.445074488426521
20.8333333333333,1.2422019406705,1.20478644878643,1.29673120523239,-0.13075975699513
21.0333333333333,1.29827049556945,1.26840130694208,0.457768122902297,2.6416991525789
20.9666666666667,1.12165964668679,1.1468948482925,1.17212616907318,0.907100731747515
20.1333333333333,1.10606146495045,1.12120031235829,0.709327651013282,-0.72095986365246
21.2666666666667,0.933833304475174,0.917276803769924,0.342987775959709,0.259369186625793
19.7666666666667,0.916757054486781,0.890604269292891,-0.0839393603218735,0.181121501988434
19.4,0.768900942485042,0.795897546134758,-0.0568223114046337,-0.584905074873565
19.6333333333333,0.731349297560521,0.848484889973049,0.284681387432391,-1.25222701302851
21.3,1.24539753203799,1.21505574165884,0.521930392294264,1.28951972300222
20.1666666666667,0.785065608059943,0.869645649427848,-0.0866327885466788,1.76536266308147
21.1333333333333,0.781009964695064,0.886812152340238,0.125055058565355,0.473558937503571
20.2,1.23643368853322,1.185781590047,0.0319153492804092,-0.339420226505667
19.3,0.955735915929839,0.94564726989385,0.201763712524655,2.66723832863379
18.7666666666667,0.944522960680408,1.00487347631011,0.459704035761973,-0.59156968886698
20.0666666666667,0.836150707897202,0.935987576571925,0.282414094169164,1.79351730120652
19.3,1.0440796831232,1.11067155466605,0.158351487319889,-0.249514906691853
19.0333333333333,1.17452776078141,1.23031693831607,0.139794896616064,-0.0447315486437628
19.3,1.24034806266272,1.16859087908411,0.148097224743312,0.77929637743456
18.1666666666667,0.909215424277406,0.961038327633303,0.174435673123344,-0.217753473752178
20.2,0.776531752132342,0.817880217165278,-0.881025058947879,-0.0137707051407182
20,0.870299929961745,0.943653675555056,-0.348439238589677,-0.908234885483886
18.8666666666667,0.726784901729101,0.785117550697984,-0.583001732742812,-1.34880259381505
18.3,0.892287243031579,0.966754989662154,-0.747242076733116,-1.25448214295484
18.6666666666667,0.990135412112684,1.01208287741051,-0.788881047927577,0.0127857758791697
17.4333333333333,0.762142915193234,0.843506772789236,-0.856190950702609,0.497403159917492
18.5333333333333,0.823471347076126,0.89298727739223,-0.88812245883176,-0.597603787039924
18.3666666666667,0.741054546921858,0.845953408413837,-0.867243635269678,0.490743608632525
18.4,1.12560324865632,1.07372822051253,-0.348690087651292,-0.094694277133694
18.8666666666667,0.847991388284113,0.869966481725032,-0.283319585782212,0.376361995072717
19.1666666666667,1.06963177738952,1.04489000818243,-1.29045265597598,-0.0924829602674928
18.8333333333333,1.04232285801241,1.03789497931313,-0.831712732632904,-0.540438074779691
19.5666666666667,1.04955065003872,1.03112943770044,-1.16640563762159,-0.0875346304144357
19.4666666666667,1.00377659486284,1.02408558365,-1.03838669932012,-1.47239986265498
18.4666666666667,1.0170733610268,1.05999813584592,-1.22406114649778,-0.856980790330218
18.4333333333333,0.96850831409141,1.07053135613397,-0.851107791907177,-0.658315196834561
19.5,1.00803075089909,1.08381352023967,-1.05356535273833,0.229172214076514
18.5333333333333,1.16681483675874,1.16746433949354,-1.04637716945171,-0.330254960382958
18.3,1.14322910435947,1.15426433439195,-1.30931635858227,-0.551246968696458
19.5333333333333,1.22315173464959,1.23468325933496,-1.40625793701426,-0.00554782443705537
19.4666666666667,0.962602865443076,1.00368888001032,-1.52039724612495,0.272422094135183
18.3333333333333,0.924805052883684,0.992369567497604,-2.06173870641411,0.383941035113386
18.8333333333333,0.917088742264999,0.993082660238552,-1.11120937175966,-0.385954049892478
18.5,0.946698243931915,0.995035691670473,-0.945564345331291,-2.60634761292896
